Date,Open,High,Low,Close,Adj_Close,Volume,Significant_Move
2008-06-02,"4,699.65","4,773.65","4,532.15",4574.2,"4,574.20",-,1
2008-06-03,"4,519.45","4,540.25","4,407.40",4524.85,"4,524.85",-,1
2008-06-04,"4,520.05","4,526.10","4,395.65",4418.5,"4,418.50",-,1
2008-06-05,"4,420.20","4,635.95","4,410.90",4615.7,"4,615.70",-,0
2008-06-06,"4,642.25","4,681.10","4,557.90",4571.3,"4,571.30",-,0
2008-06-09,"4,495.90","4,495.90","4,320.05",4359.35,"4,359.35",-,1
2008-06-10,"4,348.15","4,358.55","4,165.95",4249.9,"4,249.90",-,1
2008-06-11,"4,268.85","4,330.35","4,264.90",4303.6,"4,303.60",-,0
2008-06-12,"4,260.10","4,317.20","4,186.45",4300.7,"4,300.70",-,0
2008-06-13,"4,319.80","4,377.45","4,287.15",4322.7,"4,322.70",-,0
2008-06-16,"4,352.75","4,439.65","4,352.75",4380.25,"4,380.25",-,0
2008-06-17,"4,383.95","4,433.50","4,354.45",4425.1,"4,425.10",-,0
2008-06-18,"4,429.10","4,434.95","4,313.30",4323.1,"4,323.10",-,1
2008-06-19,"4,283.10","4,331.90","4,259.25",4295.9,"4,295.90",-,0
2008-06-20,"4,322.90","4,334.70","4,158.90",4179.7,"4,179.70",-,1
2008-06-23,"4,133.60","4,234.95","4,133.60",4191.55,"4,191.55",-,0
2008-06-24,"4,176.95","4,224.10","4,083.85",4108.95,"4,108.95",-,1
2008-06-25,"4,079.90","4,111.00","4,010.30",4091.0,"4,091.00",-,0
2008-06-26,"4,116.40","4,214.30","4,105.00",4193.75,"4,193.75",-,0
2008-06-27,"4,131.35","4,131.35","3,988.95",4002.6,"4,002.60",-,1
2008-06-30,"4,016.75","4,067.15","3,977.75",3999.4,"3,999.40",-,0
2008-07-01,"4,000.85","4,052.00","3,881.00",3906.45,"3,906.45",-,1
2008-07-02,"3,917.85","4,116.85","3,907.90",4096.0,"4,096.00",-,0
2008-07-03,"4,087.30","4,087.30","3,906.50",3982.95,"3,982.95",-,1
2008-07-04,"3,999.90","4,057.70","3,971.05",4000.8,"4,000.80",-,0
2008-07-07,"4,015.95","4,128.00","4,015.95",4091.8,"4,091.80",-,0
2008-07-08,"4,031.50","4,036.95","3,953.60",3967.6,"3,967.60",-,1
2008-07-09,"3,999.70","4,152.35","3,999.70",4133.7,"4,133.70",-,0
2008-07-10,"4,128.60","4,178.95","4,060.65",4104.15,"4,104.15",-,0
2008-07-11,"4,183.15","4,194.80","3,809.50",3839.5,"3,839.50",-,1
2008-07-14,"3,822.80","3,822.80","3,636.00",3659.25,"3,659.25",-,1
2008-07-15,"3,615.15","3,703.95","3,527.05",3552.65,"3,552.65",-,1
2008-07-16,"3,576.40","3,605.50","3,475.85",3511.5,"3,511.50",-,1
2008-07-17,"3,585.65","3,652.85","3,585.65",3637.35,"3,637.35",-,0
2008-07-18,"3,658.75","3,668.65","3,476.55",3571.6,"3,571.60",-,1
2008-07-21,"3,608.75","3,629.50","3,535.00",3590.65,"3,590.65",-,0
2008-07-22,"3,605.40","3,705.65","3,584.50",3690.55,"3,690.55",-,0
2008-07-23,"3,743.20","3,810.20","3,687.75",3800.45,"3,800.45",-,0
2008-07-24,"3,816.15","3,816.15","3,609.55",3682.8,"3,682.80",-,1
2008-07-25,"3,666.55","3,729.40","3,619.50",3657.05,"3,657.05",-,0
2008-07-28,"3,656.65","3,696.00","3,644.50",3664.0,"3,664.00",-,0
2008-07-29,"3,513.45","3,662.10","3,513.45",3645.0,"3,645.00",-,0
2008-07-30,"3,677.70","3,787.95","3,677.70",3780.9,"3,780.90",-,0
2008-07-31,"3,819.25","3,819.25","3,732.45",3752.85,"3,752.85",-,0
2008-08-01,"3,723.75","3,878.00","3,694.55",3851.85,"3,851.85",-,0
2008-08-04,"3,826.40","3,887.75","3,819.80",3841.3,"3,841.30",-,0
2008-08-05,"3,811.75","3,934.15","3,796.45",3917.75,"3,917.75",-,0
2008-08-06,"3,932.55","4,020.70","3,932.55",3965.1,"3,965.10",-,0
2008-08-07,"3,972.10","4,020.80","3,949.45",3975.9,"3,975.90",-,0
2008-08-08,"3,949.75","3,973.90","3,898.75",3916.4,"3,916.40",-,1
2008-08-11,"3,938.80","3,980.25","3,880.25",3917.45,"3,917.45",-,0
2008-08-12,"3,920.50","3,944.80","3,808.65",3821.1,"3,821.10",-,1
2008-08-13,"3,788.10","3,866.20","3,787.35",3854.85,"3,854.85",-,0
2008-08-14,"3,862.95","3,942.60","3,854.20",3907.4,"3,907.40",-,0
2008-08-18,"3,919.45","3,985.95","3,909.00",3919.45,"3,919.45",-,0
2008-08-19,"3,927.50","3,931.75","3,872.45",3898.05,"3,898.05",-,0
2008-08-20,"3,900.95","3,937.15","3,887.95",3912.65,"3,912.65",-,0
2008-08-21,"3,902.10","3,911.55","3,809.40",3817.35,"3,817.35",-,1
2008-08-22,"3,811.80","3,839.45","3,791.15",3829.4,"3,829.40",-,0
2008-08-25,"3,848.25","3,900.55","3,842.45",3850.85,"3,850.85",-,0
2008-08-26,"3,827.55","3,910.60","3,827.55",3897.1,"3,897.10",-,0
2008-08-27,"3,906.65","3,918.55","3,869.30",3877.9,"3,877.90",-,0
2008-08-28,"3,885.00","3,895.75","3,793.75",3806.9,"3,806.90",-,1
2008-08-29,"3,827.00","3,931.60","3,827.00",3926.8,"3,926.80",-,0
2008-09-01,"3,925.45","3,965.65","3,892.25",3933.9,"3,933.90",-,0
2008-09-02,"3,934.00","4,064.35","3,934.00",4047.9,"4,047.90",-,0
2008-09-04,"4,047.60","4,071.55","4,006.10",4054.2,"4,054.20",-,0
2008-09-05,"4,005.50","4,005.50","3,917.65",3927.4,"3,927.40",-,1
2008-09-08,"3,998.70","4,060.80","3,985.35",4011.85,"4,011.85",-,0
2008-09-09,"4,009.25","4,054.70","3,964.05",4020.85,"4,020.85",-,0
2008-09-10,"4,021.60","4,056.70","3,989.20",3997.9,"3,997.90",-,0
2008-09-11,"4,018.95","4,018.95","3,933.95",3952.35,"3,952.35",-,1
2008-09-12,"3,969.15","3,969.15","3,794.25",3806.45,"3,806.45",-,1
2008-09-15,"3,729.00","3,751.25","3,515.75",3606.5,"3,606.50",-,1
2008-09-16,"3,493.35","3,573.15","3,446.90",3540.35,"3,540.35",-,1
2008-09-17,"3,554.40","3,633.00","3,496.95",3511.85,"3,511.85",-,0
2008-09-18,"3,422.50","3,520.70","3,300.60",3449.35,"3,449.35",-,1
2008-09-19,"3,560.70","3,673.00","3,550.90",3660.1,"3,660.10",-,0
2008-09-22,"3,694.15","3,710.10","3,614.00",3643.4,"3,643.40",-,0
2008-09-23,"3,572.85","3,604.75","3,449.20",3459.75,"3,459.75",-,1
2008-09-24,"3,489.70","3,489.70","3,346.00",3410.0,"3,410.00",-,1
2008-09-25,"3,415.95","3,417.40","3,300.45",3314.45,"3,314.45",-,1
2008-09-26,"3,318.20","3,318.20","3,193.50",3211.85,"3,211.85",-,1
2008-09-29,"3,192.45","3,192.45","3,006.05",3050.95,"3,050.95",-,1
2008-09-30,"2,974.50","3,192.25","2,902.10",3107.05,"3,107.05",-,0
2008-10-01,"3,111.05","3,214.45","3,111.05",3193.05,"3,193.05",-,0
2008-10-03,"3,218.40","3,218.40","3,086.75",3106.55,"3,106.55",-,1
2008-10-06,"3,081.35","3,081.35","2,871.25",2912.7,"2,912.70",-,1
2008-10-07,"2,964.00","3,024.00","2,747.80",2806.5,"2,806.50",-,1
2008-10-08,"2,738.95","2,738.95","2,515.35",2645.85,"2,645.85",-,1
2008-10-10,"2,610.40","2,610.40","2,336.90",2498.85,"2,498.85",-,1
2008-10-13,"2,549.60","2,730.35","2,521.30",2694.8,"2,694.80",-,0
2008-10-14,"2,700.45","2,920.15","2,700.45",2819.35,"2,819.35",-,0
2008-10-15,"2,762.15","2,762.15","2,627.60",2656.0,"2,656.00",-,1
2008-10-16,"2,527.95","2,580.75","2,363.85",2533.6,"2,533.60",-,1
2008-10-17,"2,565.45","2,625.95","2,375.55",2391.5,"2,391.50",-,1
2008-10-20,"2,441.00","2,613.85","2,436.50",2577.4,"2,577.40",-,0
2008-10-21,"2,629.15","2,787.45","2,600.35",2767.3,"2,767.30",-,0
2008-10-22,"2,719.40","2,719.40","2,610.90",2649.75,"2,649.75",-,1
2008-10-23,"2,553.20","2,769.65","2,504.75",2603.95,"2,603.95",-,1
2008-10-24,"2,541.30","2,573.45","2,307.95",2415.55,"2,415.55",-,1
2008-10-27,"2,388.00","2,427.95","2,125.25",2380.9,"2,380.90",-,1
2008-10-29,"2,585.35","2,620.70","2,498.40",2549.25,"2,549.25",-,0
